,arabic,bengali,english,finnish,indonesian,russian,swahili,telugu
RS 1,72.53567058,80.81261413,76.15063489,74.48654531,78.31552196,74.93303521,80.74785272,77.74019578
RS 2,76.71189084,66.43929816,77.73241286,74.85129688,83.13546643,70.3123223,83.54469294,76.76911444
RS 3,75.77610971,64.49941897,78.57319557,78.03901409,79.6520392,75.1402406,85.1847973,49.8060244
RS 4,79.81836134,66.06475629,78.05723421,75.67741501,80.91055925,74.20729937,79.62097449,77.02438202
RS 5,80.12246759,66.55415872,79.04129861,78.36879778,79.69288726,73.84924164,78.92002849,56.09687198
RS 6,77.37207658,63.24681218,78.51641177,77.96914842,83.78483262,70.8163156,84.2730237,50.64131028
RS 7,79.86945324,64.75998927,77.30750834,74.46977257,83.63090623,68.33117552,83.11328414,49.63090463
