,arabic,bengali,english,finnish,indonesian,russian,swahili,telugu
arabic,81.3126545225312,64.34879280012024,78.76619410365147,74.83351468579379,78.93340161605653,66.98326823645154,75.5745992434893,44.2711783353234
bengali,66.51039403619394,78.93894699204434,75.66887581291041,71.7383266709496,72.26099710810273,66.78636724377779,77.04464214776863,50.597309848430925
finnish,77.83836001297914,65.07144772631497,78.65482504173872,80.54308519389733,78.59567239891908,71.12899145741703,81.24025726321149,48.47425933973021
indonesian,76.6282266264908,63.03802392297967,78.24801483441834,74.63212044979838,84.8520399457727,69.3074691011591,80.32512486699926,51.14852345794051
russian,74.12767100082712,65.36407054106168,75.96212616361596,76.60584002042157,76.74873519178207,76.09081878974429,79.70400956599788,48.38071586638559
swahili,73.85282875077695,65.48883270122208,78.45180322830842,75.26319051576883,76.98056918582175,67.4045594958797,84.76479084548203,49.207645866838696
telugu,67.27619072651807,69.38544739429695,76.1290144583195,71.07633797958037,71.79613374441078,67.92340397251735,78.56659047332413,78.68999011969208
