"Name","State","Notes","User","Tags","Created","Runtime","Sweep","adam_epsilon","cache_dir","config_name","data_pkl_dir","delete_old_checkpoints","do_eval","do_finetune","do_lower_case","do_train","doc_stride","eval_all_checkpoints","evaluate_during_training","fp16","fp16_opt_level","gradient_accumulation_steps","hf_name","lang_id","learning_rate","local_rank","logging_steps","max_answer_length","max_grad_norm","max_query_length","max_seq_length","max_steps","model_name_or_path","model_type","n_best_size","no_cuda","null_score_diff_threshold","num_train_epochs","output_dir","overwrite_cache","overwrite_data_cache","overwrite_output_dir","per_gpu_eval_batch_size","per_gpu_train_batch_size","predict_file","push_to_huggingface_every_epoch","push_to_huggingface_initial_load","resume_training","run_name","save_steps","seed","server_ip","server_port","skip_dpr_check","split_data_into_batches_and_save","threads","tokenizer_name","train_file","verbose_logging","version_2_with_negative","warmup_steps","weight_decay","eval.Results.HasAns_exact","eval.Results.HasAns_f1","eval.Results.HasAns_total","eval.Results.best_exact","eval.Results.best_exact_thresh","eval.Results.best_f1","eval.Results.best_f1_thresh","eval.Results.checkpoint","eval.Results.exact","eval.Results.f1","eval.Results.total","eval.result.HasAns_exact","eval.result.HasAns_f1","eval.result.HasAns_total","eval.result.best_exact","eval.result.best_exact_thresh","eval.result.best_f1","eval.result.best_f1_thresh","eval.result.checkpoint","eval.result.exact","eval.result.f1","eval.result.total","train.global_step","train.loss","train.tr_loss"
"final_baseline_f1_score_arabic","finished","-","sgowriraj","","2022-11-16T06:16:58.000Z","34","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-arabic-v1.1-dev.json","false","false","","final_baseline_f1_score_arabic","500","42","","","false","false","1","","","false","false","0","0","43.648208469055376","60.60672671852587","921","43.648208469055376","0","60.60672671852587","0","./train_cache_output/","43.648208469055376","60.60672671852587","921","","","","","","","","","","","","","",""
"final_baseline_f1_score_bengali","finished","-","sgowriraj","","2022-11-16T06:17:39.000Z","17","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-bengali-v1.1-dev.json","false","false","","final_baseline_f1_score_bengali","500","42","","","false","false","1","","","false","false","0","0","38.05309734513274","53.57360552571379","113","38.05309734513274","0","53.57360552571379","0","./train_cache_output/","38.05309734513274","53.57360552571379","113","","","","","","","","","","","","","",""
"final_baseline_f1_score_english","finished","-","sgowriraj","","2022-11-16T06:18:02.000Z","23","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-english-v1.1-dev.json","false","false","","final_baseline_f1_score_english","500","42","","","false","false","1","","","false","false","0","0","64.31818181818181","73.47650581567292","440","64.31818181818181","0","73.47650581567292","0","./train_cache_output/","64.31818181818181","73.47650581567292","440","","","","","","","","","","","","","",""
"final_baseline_f1_score_finnish","finished","-","sgowriraj","","2022-11-16T06:18:31.000Z","27","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-finnish-v1.1-dev.json","false","false","","final_baseline_f1_score_finnish","500","42","","","false","false","1","","","false","false","0","0","39.769820971867006","52.079747093481814","782","39.769820971867006","0","52.079747093481814","0","./train_cache_output/","39.769820971867006","52.079747093481814","782","","","","","","","","","","","","","",""
"final_baseline_f1_score_indonesian","finished","-","sgowriraj","","2022-11-16T06:19:05.000Z","24","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-indonesian-v1.1-dev.json","false","false","","final_baseline_f1_score_indonesian","500","42","","","false","false","1","","","false","false","0","0","45.92198581560284","62.042496429476714","564","45.92198581560284","0","62.042496429476714","0","./train_cache_output/","45.92198581560284","62.042496429476714","564","","","","","","","","","","","","","",""
"final_baseline_f1_score_korean","finished","-","sgowriraj","","2022-11-16T06:19:35.000Z","20","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-korean-v1.1-dev.json","false","false","","final_baseline_f1_score_korean","500","42","","","false","false","1","","","false","false","0","0","6.498194945848375","22.015108877913576","277","6.498194945848375","0","22.015108877913576","0","./train_cache_output/","6.498194945848375","22.015108877913576","277","","","","","","","","","","","","","",""
"final_baseline_f1_score_russian","finished","-","sgowriraj","","2022-11-16T06:20:00.000Z","30","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-russian-v1.1-dev.json","false","false","","final_baseline_f1_score_russian","500","42","","","false","false","1","","","false","false","0","0","41.25615763546798","65.00404839735394","812","41.25615763546798","0","65.00404839735394","0","./train_cache_output/","41.25615763546798","65.00404839735394","812","","","","","","","","","","","","","",""
"final_baseline_f1_score_swahili","finished","-","sgowriraj","","2022-11-16T06:20:36.000Z","21","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-swahili-v1.1-dev.json","false","false","","final_baseline_f1_score_swahili","500","42","","","false","false","1","","","false","false","0","0","39.879759519038075","55.767426735223715","499","39.879759519038075","0","55.767426735223715","0","./train_cache_output/","39.879759519038075","55.767426735223715","499","","","","","","","","","","","","","",""
"final_baseline_f1_score_telugu","finished","-","sgowriraj","","2022-11-16T06:21:03.000Z","25","","1e-8","./cache_dir/","","home/sgowrira/EMQA2/EMQA/pkl6","-1","true","false","true","false","128","false","false","false","O1","1","","0","0.00003","-1","500","30","1","64","384","-1","./train_cache_output/","bert","20","false","0","3","./eval_cache_output/","","true","true","24","8","./TyDiQA_dev_data/tydiqa-goldp-telugu-v1.1-dev.json","false","false","","final_baseline_f1_score_telugu","500","42","","","false","false","1","","","false","false","0","0","32.13751868460388","42.08457901019232","669","32.13751868460388","0","42.08457901019232","0","./train_cache_output/","32.13751868460388","42.08457901019232","669","","","","","","","","","","","","","",""
